date,series_id,value,unit,source,available_from,fix_type,gbp,eur,timestamp_raw
2026-07-10,LBMA_GOLD_AM_USD_OZ,4107.05,USD/oz,lbma_today_json,2026-07-10,AM,3062.22,3594.49,09/07 11:00:00
2026-07-10,LBMA_GOLD_PM_USD_OZ,4130.15,USD/oz,lbma_today_json,2026-07-10,PM,3080.68,3608.93,09/07 11:00:00
2026-07-10,LBMA_PALLADIUM_AM_USD_OZ,1246.05,USD/oz,lbma_today_json,2026-07-10,AM,928.81,1090.17,09/07 11:00:00
2026-07-10,LBMA_PALLADIUM_PM_USD_OZ,1261.0,USD/oz,lbma_today_json,2026-07-10,PM,941.84,1103.63,09/07 11:00:00
2026-07-10,LBMA_PLATINUM_AM_USD_OZ,1626.45,USD/oz,lbma_today_json,2026-07-10,AM,1212.36,1422.82,09/07 11:00:00
2026-07-10,LBMA_PLATINUM_PM_USD_OZ,1618.85,USD/oz,lbma_today_json,2026-07-10,PM,1209.28,1416.82,09/07 11:00:00
2026-07-10,LBMA_SILVER_USD_OZ,58.825,USD/oz,lbma_today_json,2026-07-10,daily,,,09/07 11:00:00
2026-07-11,LBMA_GOLD_AM_USD_OZ,4102.2,USD/oz,lbma_today_json,2026-07-11,AM,3057.78,3588.19,10/07 11:00:00
2026-07-11,LBMA_GOLD_PM_USD_OZ,4099.15,USD/oz,lbma_today_json,2026-07-11,PM,3057.97,3589.63,10/07 11:00:00
2026-07-11,LBMA_PALLADIUM_AM_USD_OZ,1269.25,USD/oz,lbma_today_json,2026-07-11,AM,946.35,1109.96,10/07 11:00:00
2026-07-11,LBMA_PALLADIUM_PM_USD_OZ,1274.45,USD/oz,lbma_today_json,2026-07-11,PM,949.72,1115.4,10/07 11:00:00
2026-07-11,LBMA_PLATINUM_AM_USD_OZ,1620.2,USD/oz,lbma_today_json,2026-07-11,AM,1208.18,1417.19,10/07 11:00:00
2026-07-11,LBMA_PLATINUM_PM_USD_OZ,1618.45,USD/oz,lbma_today_json,2026-07-11,PM,1206.07,1416.14,10/07 11:00:00
2026-07-11,LBMA_SILVER_USD_OZ,59.345,USD/oz,lbma_today_json,2026-07-11,daily,,,10/07 11:00:00
