segment,rows,premium_missing,premium_missing_rate,proxy_share,section
2011,179,0.0,0.0,1.0,by_year
2012,366,0.0,0.0,1.0,by_year
2013,365,0.0,0.0,1.0,by_year
2014,365,0.0,0.0,1.0,by_year
2015,365,0.0,0.0,1.0,by_year
2016,366,0.0,0.0,1.0,by_year
2017,365,0.0,0.0,1.0,by_year
2018,365,0.0,0.0,1.0,by_year
2019,365,0.0,0.0,1.0,by_year
2020,366,0.0,0.0,1.0,by_year
2021,365,0.0,0.0,1.0,by_year
2022,365,0.0,0.0,1.0,by_year
2023,365,0.0,0.0,1.0,by_year
2024,366,0.0,0.0,1.0,by_year
2025,365,0.0,0.0,1.0,by_year
2026,192,0.0,0.0,1.0,by_year
proxy_exact,3769,,,,by_source_quality
proxy_forward_filled,1716,,,,by_source_quality
